0,24,27,77,37,29,1,9
1,73
2,38
3,48,47,42,65,69,72
4,26,58,57,6
5,18
6,3,45,13,41
7,46,44,4,54
8,40,52
9,20,49,56,35,76,2,71,81
10,51,36,79,23
11,31,63,39,78
12,61
13,33,12,28,17
14,43,53,62,64,5
15,11,59,14,25,19,66
16,15,16,55,32,34,67,80
17,21,22,60,74,7,70
18,10,30,68
19,8,75,50
